('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.169):('neu', 0.482):('pos', 0.349):('compound', 0.3612)
('neg', 0.0):('neu', 0.847):('pos', 0.153):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.357):('pos', 0.643):('compound', 0.2023)
('neg', 1.0):('neu', 0.0):('pos', 0.0):('compound', -0.4767)
('neg', 0.286):('neu', 0.714):('pos', 0.0):('compound', -0.4939)
('neg', 0.149):('neu', 0.851):('pos', 0.0):('compound', -0.1027)
('neg', 0.189):('neu', 0.717):('pos', 0.094):('compound', -0.3612)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.365):('neu', 0.635):('pos', 0.0):('compound', -0.8023)
('neg', 1.0):('neu', 0.0):('pos', 0.0):('compound', -0.5267)
('neg', 0.0):('neu', 0.0):('pos', 1.0):('compound', 0.3182)
('neg', 0.0):('neu', 0.575):('pos', 0.425):('compound', 0.7684)
('neg', 0.405):('neu', 0.315):('pos', 0.28):('compound', -0.2926)
('neg', 0.0):('neu', 0.848):('pos', 0.152):('compound', 0.3612)
('neg', 0.487):('neu', 0.513):('pos', 0.0):('compound', -0.6908)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.435):('neu', 0.361):('pos', 0.205):('compound', -0.5893)
('neg', 0.103):('neu', 0.744):('pos', 0.153):('compound', 0.296)
('neg', 0.0):('neu', 0.0):('pos', 1.0):('compound', 0.5719)
('neg', 0.114):('neu', 0.476):('pos', 0.41):('compound', 0.6249)
('neg', 1.0):('neu', 0.0):('pos', 0.0):('compound', -0.5423)
('neg', 0.14):('neu', 0.86):('pos', 0.0):('compound', -0.0772)
('neg', 0.377):('neu', 0.483):('pos', 0.14):('compound', -0.6584)
('neg', 0.737):('neu', 0.263):('pos', 0.0):('compound', -0.4215)
('neg', 0.164):('neu', 0.621):('pos', 0.215):('compound', -0.0258)
('neg', 0.24):('neu', 0.612):('pos', 0.148):('compound', -0.2023)
('neg', 0.329):('neu', 0.671):('pos', 0.0):('compound', -0.5994)
('neg', 0.0):('neu', 0.895):('pos', 0.105):('compound', 0.2755)
('neg', 0.0):('neu', 0.303):('pos', 0.697):('compound', 0.3182)
('neg', 0.148):('neu', 0.714):('pos', 0.138):('compound', -0.0516)
('neg', 0.0):('neu', 0.776):('pos', 0.224):('compound', 0.3804)
('neg', 0.151):('neu', 0.739):('pos', 0.109):('compound', -0.0516)
('neg', 0.0):('neu', 0.593):('pos', 0.407):('compound', 0.6697)
('neg', 0.158):('neu', 0.696):('pos', 0.147):('compound', -0.0772)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.092):('neu', 0.837):('pos', 0.071):('compound', -0.1891)
('neg', 0.266):('neu', 0.473):('pos', 0.26):('compound', -0.0129)
('neg', 0.0):('neu', 0.49):('pos', 0.51):('compound', 0.6369)
('neg', 0.197):('neu', 0.63):('pos', 0.173):('compound', -0.0772)
('neg', 0.0):('neu', 0.742):('pos', 0.258):('compound', 0.4168)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.41):('neu', 0.241):('pos', 0.349):('compound', -0.128)
('neg', 0.714):('neu', 0.286):('pos', 0.0):('compound', -0.3612)
('neg', 0.362):('neu', 0.638):('pos', 0.0):('compound', -0.5267)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.495):('neu', 0.505):('pos', 0.0):('compound', -0.2411)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.313):('neu', 0.569):('pos', 0.118):('compound', -0.5255)
('neg', 0.0):('neu', 0.753):('pos', 0.247):('compound', 0.3875)
('neg', 0.0):('neu', 0.465):('pos', 0.535):('compound', 0.3182)
('neg', 0.523):('neu', 0.312):('pos', 0.164):('compound', -0.6808)
('neg', 0.0):('neu', 0.723):('pos', 0.277):('compound', 0.3182)
('neg', 0.591):('neu', 0.409):('pos', 0.0):('compound', -0.4391)
('neg', 0.453):('neu', 0.547):('pos', 0.0):('compound', -0.7003)
('neg', 0.314):('neu', 0.686):('pos', 0.0):('compound', -0.6705)
('neg', 0.0):('neu', 0.753):('pos', 0.247):('compound', 0.3182)
('neg', 0.0):('neu', 0.854):('pos', 0.146):('compound', 0.4404)
